原土地使用权人,现土地使用权人,宗地标识,宗地编号,宗地座落,所在行政区,土地面积(公顷),土地用途,土地使用权类型,土地使用年限,土地利用状况,土地级别,转让方式,转让价格(万元),成交时间
章丘明水国开置业有限公司,济南宏大房地产开发有限公司,,370181006217GB00002,经十东路以北，城宋路以东,,5.4739,其他普通商品住房用地,土地出让,68,正在开发,十一级,买卖,7061.6500,2017/3/7 11:21:09
中国电信股份有限公司阳泉分公司,中国铁塔股份有限公司阳泉市分公司,,1403210601001,平定县柏井镇柏井四村,,0.0196,公共设施用地,出让,25,现状,未评估地区,作价出资入股,2.7891,2017/1/19 14:43:37
沁水县兰金瓦斯发电有限公司,沁水县兰金瓦斯新能源有限公司,,140521103006GB00506W00000000,端氏镇曲堤村,,0.3986,工业用地,出让,50,已开发,未评估地区,买卖,122.0000,2017/10/31 17:07:40
长沙九芝堂（集团）有限公司,长沙新力湘房地产开发有限公司,,YWSP20170731029,开福区,,0.2599,其他普通商品住房用地,国有,70,未建设,一级,买卖,2796.8110,2017/9/13 16:17:42
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241200242,周江镇龙洞村塘头下山顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:10:48
曲阳县城乡房地产开发有限公司,河北兴居房地产开发有限公司,,曲国用（2011）第013号,七里庄村北,,0.0927,其他普通商品住房用地,国有,64,住宅楼,一级,买卖,93.6000,2017/8/30 10:06:54
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241800307,梅林镇上寨村大�哦�,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 16:26:05
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240400283,转水镇畲维村连尾寨,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 16:15:12
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】187号,桃村镇灵山夼村,,0.0187,公共设施用地,出让,35,现状,四级,其他,0.0000,2017/8/7 9:42:29
方山县宇飞煤业有限公司,方山县绿华园建筑材料有限公司,,2011-10,方山县大武镇农场（东坡村）,,1.8818,工业用地,挂牌出让,45,现状,未评估地区,买卖,338.0000,2017/1/15 11:18:40
河北润和轴承制造有限公司,邢台拓元机械配件有限公司,,2017040,临西县朝阳大街西侧,,1.2114,工业用地,出让,42,现状,一级,买卖,321.4700,2017/12/12 12:02:37
内蒙古远兴能源股份有限公司碱湖试验站,内蒙古碱湖化工有限公司,,2010.401-010,乌审旗乌审召镇所在地,,3.2213,工矿仓储用地,出让,50,已开发,一级,买卖,1187.5000,2017/3/22 10:05:57
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D13,澄海区莲下镇利合新围,,2.0000,其他土地,国有出让,41,场地平整,八级,作价出资入股,458.0100,2017/2/4 10:49:19
罗丛书,宜良龙珠源明月湖旅游开发有限公司,,530125005031GB00001 F00030037,宜良县匡远街道办事处汇东路叉口南侧（汇鑫苑）3幢1单元801室,,0.0008,其他普通商品住房用地,私人住房,70,,一级,买卖,47.5650,2017/7/5 9:58:02
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241200232,周江镇蓝坑村,,0.0100,工业用地,出让,37,已开发,十二级,买卖,1.2000,2017/5/25 10:42:01
廖伟芳,中山三合房地产开发有限公司,,D29JJA20170010,长命水村,,0.1333,住宅用地,出让,51,待开发,三级,作价出资入股,139.9965,2017/1/17 9:52:28
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241400281,华阳镇华新井头上山顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 9:43:08
栖霞市华思工贸有限公司,烟台华迅工艺品有限公司,,栖国土资转字【2017】292号,迎宾路西（7号房）,,0.0169,批发零售用地,出让,26,现状,三级,其他,26.6082,2017/12/13 14:15:18
黄卫星,鄂尔多斯农村商业银行股份有限公司,,2010.605-048,乌审旗图克镇政府北住宅区,,0.0163,住宅用地,出让,70,已开发,一级,买卖,177.5655,2017/3/6 15:44:45
泰安市兴华工贸有限公司,泰安市泰山区泰苓汽车修理有限公司,,2017-D-180,泰山青春创业开发区,,0.9385,工业用地,出让,50,已建成,四级,其他,281.5641,2017/9/6 14:02:08
杨景媚、杨学刚,中国联合网络通信有限公司怀化市分公司,,2017-248,双江镇城东内环路,,0.0017,商服用地,国有出让,50,已利用,一级,买卖,34.0017,2017/8/1 9:11:47
李玉忠,中国移动通信集团内蒙古有限公司鄂尔多斯分公司,,蒙(2017)乌审旗不动产权第0001056号,乌审旗图克镇规划三街西 规划七路南侧商业楼101室,,0.1000,商服用地,出让,40,已开发,一级,买卖,65.0496,2017/10/13 11:32:33
双江镇城南居委会第一居民小区,湖南省怀化市建设工程监理有限公司通道分公司,,2017-666,双江镇万佛路,,0.0012,商服用地,国有出让,40,已利用,三级,买卖,32.2500,2017/11/24 18:56:37
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,Gy14241700375,龙村镇宫前村坳上,,0.0100,工业用地,出让,37,已开发,十二级,买卖,1.2000,2017/5/25 15:17:59
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240900352,潭下镇品畲村山东脑顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:28:14
中山市石岐区南下股份合作经济联合社,中山市恒裕房产置业有限公司,,d23bba20171108,麻洲街一巷8号,,0.0219,住宅用地,出让,69,已开发,一级,买卖,84.9095,2017/6/26 16:22:32
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240400284,转水镇青西村鸭公坑,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 16:49:15
肖建国、赵喜平,长治县安晟房地产开发有限公司,,2013-23,长治县县城新市西街北，云仙阁酒店东侧,,0.2410,其他普通商品住房用地,出让,67,良好,二级,买卖,213.0700,2017/4/27 10:09:03
湖南锦远房地产开发有限公司,长沙旺国置业有限公司,,0504020007-1,开福区,,0.5800,中低价位、中小套型普通商品住房用地,国有,70,未建,四级,买卖,4700.0000,2017/10/10 14:43:35
交城县晋源矿业有限责任公司,交城县伟德工贸有限公司,,2017-003,交城县天宁镇奈林村,,2.0513,工业用地,出让,43,按合同规定建设,十三等级,买卖,355.0000,2017/7/24 15:34:09
长沙市国有资产经营集团有限公司,湖南嘉宇实业有限公司,,YWSP20170103012、YWSP20161208012,雨花区,,1.4047,其他商服用地,国有出让,40,未建成,三级,买卖,8518.6384,2017/5/27 14:50:53
腾冲市归国华侨联合会,腾冲越州文化发展有限公司,,C-(04)-4,腾越镇天成社区文风小区,,0.0333,其他普通商品住房用地,出让,70,已开发,一级,买卖,111.9864,2017/5/24 9:52:08
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240700446,岐岭镇龙寨村杉山岗顶,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 10:36:42
双江镇城南居委会第一居民小区,湖南省怀化市建设工程监理有限公司通道分公司,,2017-659,双江镇万佛路,,0.0023,住宅用地,国有出让,70,已利用,三级,买卖,20.1140,2017/10/24 18:31:22
双江镇城南居委会第一居民小区,湖南省怀化市建设工程监理有限公司通道分公司,,2017-665,双江镇万佛路,,0.0011,商服用地,国有出让,40,已利用,三级,买卖,32.2500,2017/11/24 18:54:36
广东楷裕德实业有限公司,梅州市德信实业有限公司,,441424103211GB00053,河东镇下坝河堤御景东堤J栋,,0.0012,中低价位、中小套型普通商品住房用地,出让,54,已开发,十二级,买卖,4.7079,2017/5/3 15:35:07
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241200243,周江镇甘茶学堂背顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:33:52
中国移动通信集团黑龙江有限公司,中国铁塔股份有限公司七台河市分公司,,201710,四新基站,,0.0196,公共设施用地,出让,37,,五级,买卖,0.0000,2017/6/16 9:42:55
佛山市顺德区北�蛘蛩�口股份合作经济社,佛山市金辉房地产有限公司,,195051-002,佛山市顺德区北�蛘蚝稍缆芬阅稀⒘帕�路东侧地块,,4.3523,其他普通商品住房用地,,70,,五级,买卖,119689.0000,2017/4/17 11:37:41
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】183号,栖霞市蛇窝泊镇连家庄,,0.0212,公共设施用地,出让,33,现状,四级,其他,0.0000,2017/8/7 9:54:03
霸州市德山钢木家具有限公司,霸州市鹏博展具有限公司,,2017-15,霸州市煎茶铺镇元里村,,0.5777,工业用地,国有,38,,二级,买卖,247.6300,2017/4/21 9:45:37
广州圣堡达实业有限公司,广州雅州建材有限公司,,8030120171114030000,从化区鳌头镇城鳌大道东路561号西边,,1.5251,工业用地,属出让,50,待开发,一级,买卖,700.0000,2017/12/6 14:19:11
鄂州市九通机电设备有限公司,鄂州市和宏欣文体发展有限公司,,(2017)014,武昌大道237号,,0.2092,住宅用地,出让国有土地使用权,70,住宅,九级,买卖,426.4000,2017/11/8 9:33:16
中国联合通信有限公司宜春分公司,中国铁塔股份有限公司宜春市分公司,,360810170005,铜鼓县三都镇大槽村,,0.0017,公共设施用地,出让,50,建设用地(现状）,十五等级,买卖,1.9659,2017/1/4 17:05:57
杨景媚、杨学刚,中国联合网络通信有限公司怀化市分公司,,2017-238,双江镇城东内环路,,0.0017,商服用地,国有出让,50,已利用,一级,买卖,34.0017,2017/8/2 16:28:06
泰州华信药业投资有限公司,泰州医药高新股份有限公司,,3212021502011005000,中国医药城口泰路东侧、新阳路北侧,,22.6838,工业用地,国有土地使用权,43,已开发,三级,作价出资入股,8960.1010,2017/1/3 0:00:00
泰州华信药业投资有限公司,泰州医药高新股份有限公司,,3212031022000027000,中国医药城海陵南路西侧、规划路北侧,,2.2696,商务金融用地,国有土地使用权,33,已开发,三级,作价出资入股,5015.8160,2017/1/4 0:00:00
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14242800231,双华镇公平村小学背顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:32:01
梁婉萍\李杏芳\罗健勇\李丽珍,中山市蒂桦机械制造有限公司,,D29ZME20173104,龙石村龙塘杨屋57号,,5.8418,商服用地,出让,59,已开发,五级,买卖,6459.9022,2017/3/27 10:14:27
广东楷裕德实业有限公司,梅州市德信实业有限公司,,441424103211GB00053,河东镇下坝河堤御景东堤J栋,,0.0011,中低价位、中小套型普通商品住房用地,出让,54,已开发,十二级,买卖,4.4968,2017/5/3 15:30:29
湖南华晨投资置业有限公司,长沙荣晨置业有限公司,,20061227072,雨花区,,1.5441,其他商服用地,国有,40,,三级,买卖,17000.0000,2017/7/12 14:41:25
杨海燕,湖南冷水江农村商业银行股份有限公司,,13-29-101-1,锑都社区,,0.0004,其他商服用地,出让,28,已完成,一级,买卖,23.9020,2017/9/27 8:20:35
李志兵,湖南冷水江农村商业银行股份有限公司,,13-06-123-1,同兴乡新桥居委会,,0.0004,其他商服用地,出让,21,已完成,三级,买卖,0.8676,2017/11/20 8:18:11
叶惠华\何桂洪,中山市嘉峰物业管理有限公司,,D08ZKC20171019,新平村,,0.8985,工业用地,出让,42,已开发,五级,作价出资入股,610.0000,2017/2/21 10:25:14
雷仲平,中山市天彩房地产开发有限公司,,D26BBA20162283,东环三路21号、23号,,4.4886,商服用地,出让,48,已开发,四级,买卖,9276.5186,2017/3/13 10:13:38
四会市贞山广场发展有限公司,四会市潮创房地产开发有限公司,,441284001001GB00033,四会市贞山街道独岗村委会下沙一村“中桩”地段,,0.7324,住宅用地,出让,66,已开发,十级,买卖,2000.0000,2017/1/16 17:34:58
栖霞市正合食品有限公司,烟台市明屹食品有限公司,,栖国土资转字【2017】233号,桃村镇石剑铺村东、烟凤路西,,0.2090,仓储用地,出让,35,现状,三级,买卖,114.6667,2017/10/11 10:02:40
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,14241400259,华阳镇太平村,,0.0100,工业用地,出让,36,已开发,十二级,买卖,1.2000,2017/5/25 10:56:41
李志兵,湖南冷水江农村商业银行股份有限公司,,13-06-123-1,同兴乡新桥居委会,,0.0065,其他商服用地,出让,31,已完成,三级,买卖,1.3018,2017/11/20 8:21:18
宝泰隆新材料股份有限公司,七台河宝泰隆环保建材有限公司,,201709,长兴乡马安村,,5.1069,工业用地,出让,42,,三级,买卖,0.0000,2017/6/12 9:39:57
贵州省盘县红腾开发投资有限公司,六盘水市红果开发区龙鼎工贸有限公司,,2013-G-13,六盘水市盘县红果开发区两河新区东西2号路旁,,4.0254,工业用地,国有,47,已建,二级,买卖,744.6900,2017/3/20 16:02:10
中山市石岐区南下股份合作经济联合作,中山市恒裕房产置业有限公司,,D23VVB20160072,麻洲街162号,,0.1152,商服用地,出让,30,已开发,一级,买卖,311.5200,2017/5/3 11:55:38
汉中市城市建设投资开发有限公司,汉中市新兴房地产开发有限公司,,2017(17)号,南郑县梁山镇强国村,,4.9843,其他普通商品住房用地,出让,67,,十四等级,买卖,6933.0900,2017/9/3 8:52:18
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】176号,翠屏街道刘家河完小,,0.0040,公共设施用地,出让,33,现状,四级,其他,0.0000,2017/8/7 9:40:31
贵州博大房地产开发有限公司,贵州省盘县红腾开发投资有限公司,,2014-G-32,红果开发区（两河新区）快通与东西2号路交叉口,,0.7559,其他普通商品住房用地,出让,69,已开发建设一半以上,二级,买卖,770.3000,2017/8/21 15:00:47
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D10,澄海区莲下镇利合新围,,2.0000,其他土地,国有出让,41,场地平整,八级,作价出资入股,458.0100,2017/2/4 10:43:56
汕头市澄海区韩安奇服装有限公司,汕头市澄海区文艺智造文化有限公司,,440515006024JB82007,澄海区金鸿公路莲下路段东侧、金利路北面,,0.9922,工业用地,国有出让,48,场地平整,八级,买卖,1500.0000,2017/1/20 16:36:20
科力能源（湖北）有限公司,中化石油湖北有限公司,,(2017)004,梧桐湖新区凤凰大道北侧,,0.2272,商服用地,出让国有土地使用权,40,商业用地,十级,买卖,262.9200,2017/4/27 16:48:44
广东移动通信有限责任公司四会分公司,中国铁塔股份有限公司肇庆市分公司,,040501002,四会市下茆镇渔云村委泥坎塘村背后岗顶,,0.0048,公共设施用地,出让,35,已开发,十级,买卖,2.4000,2017/1/22 16:52:56
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240700455,岐岭镇龙岭鸭春山山顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:37:20
南宁漓源粮油饲料有限公司,田阳漓源粮油饲料有限公司,,2017-4-40,田阳县那坡镇红岭坡工业园区内（A、B、C地块）,,2.8825,工业用地,出让,47,未开发,二级,买卖,399.0000,2017/5/4 10:18:24
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】179号,翠屏街道南七里庄,,0.0121,公共设施用地,出让,33,现状,三级,其他,0.0000,2017/8/7 9:44:15
国网湖北省电力公司鄂州供电公司,鄂州电力集团有限公司,,(2017)010,发展大道南侧茨豪大道西北侧,,1.9895,工业用地,出让国有土地使用权,50,工业用地,九级,买卖,688.1700,2017/9/26 17:19:37
临漳县政通资产经营管理有限责任公司,临漳皇室房地产开发有限公司,,2017028,县城朱雀大街与金凤大街交叉口东南角,,3.2593,商服用地,出让,39,已建,四级,买卖,1497.0000,2017/7/19 10:57:40
麦惠萍,中山市高威电器制造有限公司,,D05LLA20162217,工业大道南46号,,2.9936,工业用地,出让,36,已开发,三级,买卖,2500.0000,2017/1/22 9:55:16
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14242500595,横陂镇叶湖村马鞍山顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 9:51:33
中国石化股份公司昆明石油分公司,中国石化销售有限公司云南昆明安宁安丰营加油站,,530181002008GB00002,安宁市禄��街道办事处下禄��村,,0.5946,批发零售用地,出让,30,地上已有建筑物,未评估地区,其他,0.0000,2017/9/28 16:04:12
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,C片C1,澄海区莲下镇培隆福建围外,,3.3333,其他土地,国有出让,41,场地平整,八级,作价出资入股,763.3300,2017/2/4 10:31:05
泰安岱岳农村商业银行股份有限公司,泰安市岱岳新城建设发展有限公司,,2017-D-150,泰安市泰山青春创业开发区,,2.2167,工业用地,出让,50,已建成,四级,其他,665.0100,2017/7/27 11:36:46
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】218号,栖霞市松山镇金山村,,0.0102,公共设施用地,出让,33,现状,四级,其他,0.0000,2017/9/7 11:05:12
衡阳汽车运输集团有限公司西渡新车站生产区,衡阳市中泉置业有限公司,,2017271,西渡镇蒸阳大道22号,,1.1730,交通运输用地,,34,,十二级,买卖,914.9556,2017/5/22 14:28:38
李回兴,湖南冷水江农村商业银行股份有限公司,,17-1-12-107,布溪居委会,,0.0004,其他商服用地,出让,21,已完成,三级,买卖,0.7372,2017/7/14 8:36:51
中山豪展铝异型材制品有限公司,中山坦南智造创意园开发有限公司,,d33tta20170018,火炬路53号,,1.3163,工业用地,出让,36,已开发,三级,买卖,902.4087,2017/2/27 10:22:31
刘伟,湖南冷水江农村商业银行股份有限公司,,13-49-13,俩塘居委会,,0.0015,其他普通商品住房用地,出让,29,已完成,一级,买卖,2.3167,2017/5/23 15:16:57
湖北中赢物贸有限公司,鄂州聚兴物流有限公司,,(2017)016,凡口工业园区,,2.1757,工业用地,出让国有土地使用权,50,工业用地,九级,买卖,565.6900,2017/11/24 9:49:18
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241200244,周江镇利洋村五帝宫山顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 9:53:33
栖霞市华思工贸有限公司,烟台华迅工艺品有限公司,,栖国土资转字【2017】289号,迎宾路西（14号房）,,0.0135,批发零售用地,出让,26,现状,三级,其他,21.2866,2017/12/13 14:23:39
四会市德保金属塑料有限公司,四会市凯创贸易有限公司,,100413004,四会市东城街道上元塘地段,,6.2297,工业用地,出让,38,已开发,十级,买卖,1900.0000,2017/6/3 9:48:10
武汉市鑫恒龙工艺有限公司,湖北富鑫华装饰有限公司,,2017-15,蔡甸区蔡甸街新庙村（树藩大街1041号）,,0.1331,工业用地,出让,37,出让,未评估地区,买卖,48.4400,2017/6/22 10:56:55
牟朋波,栖霞南秀商贸有限公司,,栖国土资转字【2017】256号,蛇窝泊镇蛇窝村南路西,,0.0317,批发零售用地,出让,22,现状,三级,其他,30.5025,2017/11/17 15:58:45
江门融和农村商业银行股份有限公司,江门市企业资产经营有限公司,,江地鉴字[2017]第7号,蓬江区发展大道178号,,2.1619,商务金融用地,出让,26,已建,二级,买卖,25943.0000,2017/1/11 11:34:15
山东华塑建材有限公司,山东木易建材有限公司,,0006659-1,鲁宏大道东段北侧，桃花山街以东,,1.0153,工业用地,土地出让,29,已开发,十一级,买卖,7147.0000,2017/7/31 13:52:01
广州奥桑味精食品有限公司,奥桑（佛山）有限公司,,440607005004GB00048,佛山市三水区大塘镇恒生路1号之三,,2.5276,工业用地,出让,50,未开发,七级,作价出资入股,1236.9055,2017/1/19 14:49:45
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241600142,龙村镇新艳村,,0.0100,工业用地,出让,37,已开发,十二级,买卖,1.2000,2017/5/25 16:01:30
罗定市嘉达房地产有限公司,罗定市嘉达房地产有限公司,,445381021007GB00350,罗定市罗城街道工业大道三路28号,,0.0868,住宅用地,出让,70,良好,九级,继承,44.4314,2017/6/6 11:10:53
赤峰市元宝山区荣济堂医药有限公司,赤峰市元宝山区荣济堂大药房连锁有限公司,,435-(06)-331-1,元宝山区平庄城区银河街南天山路东,,0.1288,其他商服用地,出让,25,商服用地,一级,买卖,108.6275,2017/9/25 16:28:34
李志兵,湖南冷水江农村商业银行股份有限公司,,13-06-123-1,同兴乡新桥居委会,,0.0009,其他商服用地,出让,21,已完成,三级,买卖,1.7945,2017/11/20 8:20:13
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,14241400266,华阳镇大拨村,,0.0100,工业用地,出让,36,已开发,十二级,买卖,1.2000,2017/5/25 17:12:15
黄辉雄、尹源生,佛山市雄达实业投资有限公司,,440607005001GB00002,佛山市三水区大塘镇六一村委会落角塘（土名）,,4.9731,工业用地,出让,50,已开发,七级,作价出资入股,2203.1000,2017/11/10 12:29:58
蒋声军,栖霞市金益经贸有限公司,,栖国土资转字[2017]25号,栖霞市观里镇化山南村北,,0.5700,仓储用地,出让,39,现状,四级,买卖,212.6667,2017/1/9 21:52:07
长沙紫荆置业有限公司,长沙恒高房地产开发有限公司,,YWSP20170816014,开福区,,5.1917,中低价位、中小套型普通商品住房用地,国有,70,未建设,六级,买卖,14116.2900,2017/9/18 15:15:52
山西华昱房地产开发有限公司,朔州四季平朔大酒店有限公司,d5314d8d-ba67-49e8-b737-8e2d340a38a2,朔国土2007-04号,安泰街南侧、张辽路东侧，市委西区,,3.1311,住宿餐饮用地,出让,30,,一级,买卖,4797.0000,2017/4/18 17:10:29
湖南康泰实业有限公司,湖南嵘天源实业有限公司,,YWSP20171025003,开福区,,0.3118,其他商服用地,国有出让地,40,已建设,二级,买卖,2400.0000,2017/11/17 15:35:35
云南盐化股份有限公司,云南省盐业有限公司昆明盐矿,,530181005002GB00011,安宁市太平街道办事处桥头村委会太平老村村民小组,,0.0490,工业用地,出让,40,地上已有建筑物,未评估地区,其他,0.0000,2017/12/27 10:41:27
广东移动通信有限责任公司四会分公司,中国铁塔股份有限公司肇庆市分公司,,160701001,四会市江谷镇田心村委阿婆凼山顶,,0.0048,公共设施用地,出让,35,已开发,十级,买卖,2.4000,2017/1/22 17:21:55
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14242000361,棉洋镇阳光村大机畲顶,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 10:09:34
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,C4,澄海区莲下镇培隆福建围外,,3.3333,其他土地,国有出让,41,场地平整,八级,作价出资入股,763.3300,2017/2/4 10:59:21
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】213号,栖霞市寺口镇纸房村,,0.0253,公共设施用地,出让,35,现状,四级,其他,0.0000,2017/9/7 14:31:54
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240900349,潭下镇百安村红岭杉窝顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:35:36
湖南东方房地产开发有限公司,永州金麦农业发展有限公司,,13-41-78,集中居委会,,0.0049,其他普通商品住房用地,出让,28,已完成,三级,买卖,3.2265,2017/7/6 16:04:31
钟巨针 钟荣彬,广州市从化南海食街饮食实业有限公司,,080301_20170207002804,广州市从化区江埔街禾仓“小海桥”地段,,0.0160,住宅用地,出让,50,待开发,九级,买卖,61.4880,2017/3/14 17:36:11
广西阳阳铝业有限公司,广西广盈铝业有限公司,,2017-1-2,田阳县头塘镇新山村、百沙村,,2.1083,工业用地,出让,45,未开发,三级,买卖,300.0000,2017/1/18 9:43:39
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D18,澄海区莲下镇利合新围,,1.3334,其他土地,国有出让,41,场地平整,八级,作价出资入股,305.3400,2017/2/4 11:07:51
文昆辉,湖南冷水江农村商业银行股份有限公司,,13-49-13,俩塘社区居委会金鼎花园,,0.0184,其他商服用地,出让,29,已完成,四级,买卖,14.5144,2017/6/1 8:31:11
佛山市三水致明实业有限公司（属于法院执行裁定）,广东宏大金谷创新科技有限公司,,440607005004GB03106,佛山市三水大塘镇工业区员工村（3号地）,,1.0477,住宅用地,出让,70,未开发、无建筑物,七级,继承,705.3200,2017/3/20 9:34:00
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D9,澄海区莲下镇利合新围,,2.0000,其他土地,国有出让,41,场地平整,八级,作价出资入股,458.0100,2017/2/4 11:06:23
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,14241500139,龙村镇下滩村云化,,0.0100,工业用地,出让,36,已开发,十二级,买卖,1.2000,2017/5/25 16:59:17
蔡銮君,汕头市澄海区泰运贸易有限公司,,岭亭65,汕头市澄海区澄华街道岭亭村,,0.1613,其他商服用地,国有出让,28,场地平整,八级,作价出资入股,657.0000,2017/11/6 9:38:05
霸州市德山钢木家具有限公司,霸州市鹏博展具有限公司,,2017-15,霸州市煎茶铺镇元里村,,0.5777,工业用地,国有,38,,二级,买卖,247.6300,2017/4/21 9:48:41
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】215号,栖霞市翠屏街道北夼村庙顶山,,0.0363,公共设施用地,出让,33,,四级,其他,0.0000,2017/9/7 14:26:22
张景武,内蒙古鄂托克农村商业银行股份有限公司,,2008401-4-1715,乌审旗嘎鲁图镇人民路北国土小区2号楼1单元402室（四区）,,0.0121,住宅用地,出让,70,已开发,一级,买卖,53.9945,2017/8/31 16:35:32
张德成,五华县新智慧投资有限公司,,14240103289-3,水寨镇番禺大道工业三路,,0.0120,批发零售用地,出让,39,已开发,十二级,买卖,38.6160,2017/7/26 16:01:04
七台河矿业精煤（集团）七煤医院有限公司,七台河七煤医院有限公司,,201703,同仁路西侧,,0.1599,医卫慈善用地,出让,50,,一级,买卖,0.0000,2017/1/20 9:35:33
万源市秦川煤业有限责任公司,万源市人和开发有限公司,,2017-087,万源市太平镇毛坝子村二社,,0.0350,工矿仓储用地,出让,50,现状转让,一级,买卖,2.4500,2017/3/22 16:02:12
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14242101111,安流镇双福村,,0.0100,工业用地,出让,37,已开发,十二级,买卖,1.2000,2017/5/24 16:04:36
李锦灿\谢浩彪,中山金旭房地产投资有限公司,,D31ZSA20160991,"白石环村""九菜塘""",,1.7961,商服用地,出让,49,已开发,五级,作价出资入股,1571.0000,2017/1/19 11:42:23
乐金显示（南京）有限公司,南京乐金化学新能源电池有限公司,,320113001008GB00056,栖霞区南京经济技术开发区恒通大道77号,,0.9767,工业用地,国有土地使用权,50,已开发,六级,买卖,117.2099,2017/5/19 0:00:00
乐金显示（南京）有限公司,南京乐金化学新能源电池有限公司,,320113001008GB00057,栖霞区南京经济技术开发区恒通大道77号,,1.1702,工业用地,国有土地使用权,50,已开发,六级,买卖,140.4194,2017/5/19 0:00:00
江苏金桐化学工业有限公司,南京和盛宝新能源科技有限公司,,320113004014GB00051,栖霞区南京经济技术开发区恒发路20号,,5.6004,工业用地,国有土地使用权,50,已开发,六级,买卖,3360.0000,2017/11/8 0:00:00
江苏紫金电子集团有限公司,江苏阳光紫金电子有限公司,,320106013005GB00258,鼓楼区东井亭路57号,,0.3984,工业用地,国有土地使用权,50,已开发,六级,作价出资入股,259.0315,2017/11/2 0:00:00
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14242500540,横陂镇斑鱼村高山嶂,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 15:55:32
曾晓林、朱维敏,湖南强利旺商贸有限公司,,13-17-4-1,锑都中路,,0.0689,其他商服用地,出让,27,已完成,一级,买卖,137.2655,2017/12/27 16:45:38
